"lang"
{ 
	"Language" "English" 
	"Tokens" 
	{
		// GENERIC ======================================================================================================
		"addon_game_creator"                                                                                "MrDimaseS / houthakker / Mayhem"
		"addon_game_name"                                                                                   "EPIC BOSS FIGHT REBORN"
		"prefix_ebf_changes"																				"EBF:"
		
		"ebf_peaks_of_screeauk"																				"Peaks of Scree'auk"
		"ebf_fields_of_carnage"																				"Fields of Endless Carnage"
		"ebf_narrow_mazes"																					"Narrow Mazes Courtyard"
		"ebf_immortal_halls"																				"Hall of the Immortals"
		
		"ebf_difficulty_1"																					"Normal"
		"ebf_difficulty_2"																					"Hard"
		"ebf_difficulty_3"																					"Impossible"
		"ebf_difficulty_4"																					"Nightmare"
		
		"ebf_gamemode_strategy"																				"Strategy"
		"ebf_gamemode_mayhem"																				"Mayhem"
		
		"ebf_difficulty_1_Description"																		"<font color='#ffffff'><b>Enemies:</b></font> Default.<br><font color='#ffffff'><b>Respawn Time:</b></font> 90 seconds.<br><font color='#ffffff'><b>Glyph CD:</b></font>150 seconds.<br><font color='#ffffff'><b>Scan CD:</b></font> 120 seconds.<br><font color='#ffffff'><b>Ward Vision:</b></font> 2400/2400."
		"ebf_difficulty_2_Description"																		"<font color='#ffffff'><b>Enemies:</b></font> +20%  Health, +30% Attack Speed, +20% Attack Damage and Better Abilities.<br><font color='#ffffff'><b>Respawn Time:</b></font> 130 seconds.<br><font color='#ffffff'><b>Glyph CD:</b></font> 150 seconds.<br><font color='#ffffff'><b>Scan CD:</b></font> 120 seconds.<br><font color='#ffffff'><b>Ward Vision:</b></font> 2200/2000."
		"ebf_difficulty_3_Description"																		"<font color='#ffffff'><b>Enemies:</b></font> +40%  Health, +60% Attack Speed, +40% Attack Damage and Better Abilities.<br><font color='#ffffff'><b>Respawn Time:</b></font> 170 seconds.<br><font color='#ffffff'><b>Glyph CD:</b></font> 150 seconds.<br><font color='#ffffff'><b>Scan CD:</b></font> 120 seconds.<br><font color='#ffffff'><b>Ward Vision:</b></font> 2000/1600."
		"ebf_difficulty_4_Description"																		"<font color='#ffffff'><b>Enemies:</b></font> +60%  Health, +90% Attack Speed, +60% Attack Damage and Better Abilities.<br><font color='#ffffff'><b>Respawn Time:</b></font> 210 seconds.<br><font color='#ffffff'><b>Glyph CD:</b></font> 150 seconds.<br><font color='#ffffff'><b>Scan CD:</b></font> 120 seconds.<br><font color='#ffffff'><b>Fog of War.</b>"
		
		"ebf_strategy_difficulty_1_Description"																"<br><font color='#ffffff'><b>Time Between Waves:</b></font> Default."
		"ebf_strategy_difficulty_2_Description"																"<br><font color='#ffffff'><b>Time Between Waves:</b></font> Reduced by 16.66%"
		"ebf_strategy_difficulty_3_Description"																"<br><font color='#ffffff'><b>Time Between Waves:</b></font> Reduced by 33.33%"
		"ebf_strategy_difficulty_4_Description"																"<br><font color='#ffffff'><b>Time Between Waves:</b></font> Reduced by 50%"
		
		"ebf_mayhem_difficulty_1_Description"																"<br><font color='#ffffff'><b>Time Between Rounds:</b></font> 180 seconds."
		"ebf_mayhem_difficulty_2_Description"																"<br><font color='#ffffff'><b>Time Between Rounds:</b></font> 150 seconds."
		"ebf_mayhem_difficulty_3_Description"																"<br><font color='#ffffff'><b>Time Between Rounds:</b></font> 120 seconds"
		"ebf_mayhem_difficulty_4_Description"																"<br><font color='#ffffff'><b>Time Between Rounds:</b></font> 90 seconds."
		
		"dota_ability_variable_cast"                                                                        "Cast Speed"
		"dota_ability_variable_heal_amp"                                                                    "Healing Provided"
		"dota_ability_variable_heal_amp_in"                                                                 "Healing Received"
		"dota_ability_variable_hp_per_str"																	"Health per Strength"
		"dota_ability_variable_hp_regen_per_str"															"HP Regen per Strength"
		"dota_ability_variable_magic_damage"																"Magic Attack Damage"
		"dota_ability_variable_pure_damage"																	"Pure Attack Damage"
		"dota_ability_variable_other_attr"                                                                  "Other Attributes"
		"DOTA_LevelUpAttributes"                                                                            "+25% to Base Attributes"

		"DOTA_Chat_PlayerKilledGeneric"                                                                     "<font color='#386BE8'>%s1</font> was killed."
		"DOTA_Chat_Tombstone_Pinged"                                                                        "[ALLIES] Fallen teammate here."

		"DOTA_Quest_Holdout_PrepTime"                                                                       "Round <font color='#FFEA5F'>%quest_round%</font> in <font color='#EA55FF'>%quest_current_value%</font> seconds"
		"DOTA_Quest_Holdout_Round"                                                                          "Round %quest_round%"
		"DOTA_Quest_Holdout_Round_Subtext"                                                                  "%quest_current_value% killed / %quest_target_value% total"

		"DOTA_Tooltip_ability_item_Admin_armor"                                                             "ADMIN ARMOR"
		"DOTA_Tooltip_ability_item_Admin_armor_Description"                                                 "This crap should have been removed a long time ago"
		"DOTA_Tooltip_dev_passive"																			""
		"DOTA_Tooltip_dev_Immunity"																			""

		"DOTA_SUBSHOP_CONSUMABLES"																			"VANGUARD"
		"DOTA_SUBSHOP_ATTRIBUTES"																			"ASSASSIN"
		"DOTA_SUBSHOP_WEAPONS_ARMOR"																		"SPEEDSTER"
		"DOTA_SUBSHOP_MISC"																					"BRAWLER"
		"DOTA_SUBSHOP_BASICS"																				"EVOKER"
		"DOTA_SUBSHOP_SUPPORT"																				"COMMANDER"
		"DOTA_SUBSHOP_MAGICS"																				"TACTICIAN"
		"DOTA_SUBSHOP_DEFENSE"																				"HYBRID"
		"DOTA_SUBSHOP_WEAPONS"																				"VANGUARD"
		"DOTA_SUBSHOP_ARTIFACTS"																			"OTHER"
		"DOTA_SUBSHOP_RECIPE_BASICS"																		"EVOKER"
		"DOTA_SUBSHOP_RECIPE_SUPPORT"																		"COMMANDER"
		"DOTA_SUBSHOP_RECIPE_MAGICS"																		"TACTICIAN"
		"DOTA_SUBSHOP_RECIPE_DEFENSE"																		"HYBRID"
		"DOTA_SUBSHOP_RECIPE_WEAPONS"																		"VANGUARD"
		"DOTA_SUBSHOP_RECIPE_ARTIFACTS"																		"OTHER"
		
		
		"DOTA_Shop_Category_0"		"VANGUARD"
		"DOTA_Shop_Category_1"		"VANGUARD"
		"DOTA_Shop_Category_2"		"VANGUARD"
		"DOTA_Shop_Category_3"		"VANGUARD"
		
		"DOTA_Tooltip_modifier_thinker_hero_regeneration"													"Regeneration"
		"DOTA_Tooltip_modifier_thinker_hero_regeneration_Description"										"Restoring %fMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% of your maximum health maximum mana every second, increasing every second up to 10%%. Taking damage, dealing damage, spending mana or casting a spell will end this effect."
		
		"DOTA_Tooltip_modifier_last_man_standing"                                                           "Last Man Standing"
		"DOTA_Tooltip_modifier_last_man_standing_Description"                                               "You are unable to go invisible, abilities and items that ignore true-sight like Smoke of Deceit ignore this."

		"DOTA_Tooltip_modifier_boss_enraged"                                                                "Enraged"
		"DOTA_Tooltip_modifier_boss_enraged_Description"                                                    "The boss is enraged, movement speed and damage from all sources increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, but reducing their armor by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, their magic resistance by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% and all forms of healing received by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%"
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"																"Glyph of Fortification {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"													"- Grants you allied units invincibility."
		"DOTA_Tooltip_ability_fountain_glyph_duration_structures"											"DURATION (HEROES): <span class=\'GameplayValues\'>7 seconds</span>"
		"DOTA_Tooltip_ability_fountain_glyph_duration_creeps"												"DURATION (CREEPS): <span class=\'GameplayValues\'>4 seconds</span>"
		"DOTA_Tooltip_ability_fountain_glyph_multishot_targets"												""
		"DOTA_Tooltip_glyph_cooldown_ready"																	"Ready"
		"DOTA_Tooltip_glyph_cooldown"																		"Cooldown: %s1"

		// Radar
		"DOTA_Tooltip_ability_radar"																		"Scan {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"															"Scans a targeted 900 AoE. Enemies in the radius are revealed and take 25% more damage for 30 seconds."
		"DOTA_Tooltip_modifier_radar_debuff"																"Scan - Debuff"
		"DOTA_Tooltip_modifier_radar_debuff_Description"													"Revealed and taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% increased damage."
		"DOTA_Tooltip_radar_cooldown_ready"																	"Ready"
		"DOTA_Tooltip_radar_cooldown"																		"Cooldown: %s1"
		// BOSSES ======================================================================================================
		"npc_dota_money"                                                                                    "Chest Mimic"
		"npc_dota_hex_ward"																					"Hex Ward"
		"npc_dota_boss_ancient_dragon"                                                                      "Elder Greatwyrm"
